Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
ecoli,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,302.0,34.0,28.0,6.0,0.0,82.3529411764706,17.647058823529413,0.0,0.7580071174377224,0.04889606907268038,0.1987743048082512,26.688998862043043,65.76971618627485,78.29581312798683,3234.649934549078,-3156.354121421091,2.3028180331760835,95.13676278085524,-92.83394474767914,54.80861160371117,1.612017988344446,2459.208763578537,1.0,15.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8235294117647058,0.024680709690197353,0.9753192903098027,0.17647058823529413,0.8441176470588235,0.8235294117647058,0.8218954248366013,0.8040175590524907,0.9315324100098236,0.8267733564013842,0.6337868480725624,0.8235294117647058,0.039,0.002,0.04,0.0,40.0,0.0,20798.0,29582.0,4658.0,91.17647058823529,15.441176470588236,'Number of leaves: 30\nSize of the tree: 59\n',59.0,30.0,30.0
ecoli,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,302.0,34.0,24.0,10.0,0.0,70.58823529411765,29.41176470588235,0.0,0.6009389671361504,0.07642259180712131,0.26225156417474077,41.71383312517134,86.77283998964522,78.29581312798683,8598.871070370646,-8520.575257242659,2.3028180331760835,252.90797265796016,-250.6051546247841,43.76923968387636,1.28733057893754,1963.8829493442217,0.8666666666666667,13.0,0.0,0.0,1.0,19.0,0.13333333333333333,2.0,1.0,0.8666666666666667,0.9285714285714286,0.8855094489202158,0.9333333333333333,0.9254901960784314,0.7058823529411765,0.047128284634827856,0.9528717153651721,0.29411764705882354,0.690359477124183,0.7058823529411765,0.6878151260504202,0.6393929376397601,0.8412968715817469,0.6798072170044489,0.4714285714285714,0.7058823529411765,0.007,0.001,0.0,0.0,0.0,0.0,16570.0,29582.0,4658.0,76.47058823529412,15.441176470588236,'Number of leaves: 23\nSize of the tree: 45\n',45.0,23.0,23.0
ecoli,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,302.0,34.0,28.0,6.0,0.0,82.3529411764706,17.647058823529413,0.0,0.755688622754491,0.050285903835218304,0.2098634001872577,27.590495909588803,69.84754429383054,73.89309252152681,5376.885229072497,-5302.99213655097,2.1733262506331417,158.14368320801464,-155.97035695738145,50.30661849620799,1.4796064263590585,2243.3839946767193,1.0,15.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8235294117647058,0.019442499221910985,0.980557500778089,0.17647058823529413,0.8676470588235294,0.8235294117647058,0.8284313725490197,0.8176048602867058,0.889437159272311,0.7755396276157523,0.5873015873015873,0.8235294117647058,0.007,0.0,0.0,0.0,0.0,0.0,17778.0,29582.0,4658.0,82.3529411764706,17.647058823529413,'Number of leaves: 25\nSize of the tree: 49\n',49.0,25.0,25.0
ecoli,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,302.0,34.0,31.0,3.0,0.0,91.17647058823529,8.823529411764707,0.0,0.8787158145065398,0.028243768357545447,0.14311338172008237,15.392415640565106,47.26983328646538,74.76231767145028,2152.1925865127173,-2077.430268841267,2.1988916962191256,63.29978195625639,-61.10089026003727,65.09491499115992,1.9145563232694096,2906.524355440854,1.0,14.0,0.05,1.0,0.95,19.0,0.0,0.0,0.9333333333333333,1.0,0.9655172413793104,0.941629792788369,0.95,0.9245421245421246,0.9117647058823529,0.029638009049773754,0.9703619909502262,0.08823529411764706,0.9431372549019607,0.9117647058823529,0.9226996127604647,0.9019999909606625,0.9342541234856225,0.9111868955727087,0.9249346917450366,0.9117647058823529,0.007,0.0,0.01,0.0,10.0,0.0,21402.0,29582.0,4658.0,94.11764705882354,13.970588235294118,'Number of leaves: 31\nSize of the tree: 61\n',61.0,31.0,31.0
ecoli,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,302.0,34.0,31.0,3.0,0.0,91.17647058823529,8.823529411764707,0.0,0.8808411214953271,0.033493873562659135,0.1457818895099486,18.215966323551463,48.03964258447607,76.62014873087304,2152.765093330064,-2076.1449445991907,2.2535337862021483,63.3166203920607,-61.06308660585855,62.531565229765086,1.8391636832283849,2798.893500658108,0.9285714285714286,13.0,0.0,0.0,1.0,20.0,0.07142857142857142,1.0,1.0,0.9285714285714286,0.962962962962963,0.9404008408634048,0.9642857142857143,0.957983193277311,0.9117647058823529,0.014120767670463412,0.9858792323295367,0.08823529411764706,0.9199346405228759,0.9117647058823529,0.9113211535356863,0.8957162912685578,0.9623498205648308,0.9072334816279453,0.7783955332974941,0.9117647058823529,0.005,0.001,0.0,0.0,0.0,0.0,20194.0,29582.0,4658.0,94.11764705882354,14.338235294117647,'Number of leaves: 29\nSize of the tree: 57\n',57.0,29.0,29.0
ecoli,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,302.0,34.0,27.0,7.0,0.0,79.41176470588235,20.58823529411765,0.0,0.7079754601226993,0.05910038433978243,0.22479481532030798,32.14231429005712,74.07684602753034,76.62014873087304,6451.725174275133,-6375.105025544261,2.2535337862021483,189.75662277279804,-187.5030889865959,47.35618622570937,1.392829006638511,2119.6482345527706,1.0,14.0,0.1,2.0,0.9,18.0,0.0,0.0,0.875,1.0,0.9333333333333333,0.8874119674649423,0.95,0.875,0.7941176470588235,0.07737556561085975,0.9226244343891402,0.20588235294117646,0.8406862745098039,0.7941176470588235,0.7691176470588236,0.7493476609399136,0.8399694277578406,0.6769243610756996,0.5916666666666666,0.7941176470588235,0.005,0.001,0.0,0.0,0.0,0.0,18986.0,29582.0,4658.0,79.41176470588235,13.235294117647058,'Number of leaves: 27\nSize of the tree: 53\n',53.0,27.0,27.0
ecoli,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,303.0,33.0,27.0,6.0,0.0,81.81818181818181,18.181818181818183,0.0,0.742522756827048,0.05083410916744251,0.19422055603900057,27.910149117852736,64.68772325176546,69.49735436585885,2166.4663814917567,-2096.969027125898,2.105980435329056,65.65049640884111,-63.544515973512055,53.175439564877315,1.6113769565114338,2364.0160108144755,0.9285714285714286,13.0,0.10526315789473684,2.0,0.8947368421052632,17.0,0.07142857142857142,1.0,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8171869346823522,0.9116541353383458,0.8350649350649351,0.8181818181818182,0.07570304059268405,0.924296959407316,0.18181818181818182,0.8505050505050505,0.8181818181818182,0.8005572971090213,0.7568994486550246,0.9023858285616965,0.7671569449435062,0.7526436781609196,0.8181818181818182,0.005,0.0,0.0,0.0,0.0,0.0,18382.0,29675.0,4565.0,87.87878787878788,15.909090909090908,'Number of leaves: 26\nSize of the tree: 51\n',51.0,26.0,26.0
ecoli,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,303.0,33.0,25.0,8.0,0.0,75.75757575757575,24.242424242424242,0.0,0.6716417910447762,0.06762339052218982,0.24312905491776568,37.12819884602027,80.97734523953042,69.49735436585885,5387.343306566103,-5317.845952200244,2.105980435329056,163.2528274717001,-161.14684703637104,47.07468395422155,1.4265055743703499,2092.7952355905977,0.9285714285714286,13.0,0.05263157894736842,1.0,0.9473684210526315,18.0,0.07142857142857142,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8759398496240601,0.9398496240601504,0.8976499690785406,0.7575757575757576,0.053886027131738734,0.9461139728682613,0.24242424242424243,0.7878787878787878,0.7575757575757576,0.7494949494949494,0.7018143225246696,0.849204486846604,0.6808277581004853,0.6990476190476191,0.7575757575757576,0.004,0.001,0.0,0.0,0.0,0.0,17174.0,29675.0,4565.0,78.78787878787878,15.151515151515152,'Number of leaves: 24\nSize of the tree: 47\n',47.0,24.0,24.0
ecoli,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,303.0,33.0,29.0,4.0,0.0,87.87878787878788,12.121212121212121,0.0,0.8287937743190663,0.039723625140291804,0.16493841339166218,21.810007479727943,54.93491861346868,69.49735436585885,1089.602897487182,-1020.1055431213231,2.105980435329056,33.018269620823695,-30.91228918549464,55.298536907212906,1.6757132396125123,2458.402369458027,1.0,14.0,0.05263157894736842,1.0,0.9473684210526315,18.0,0.0,0.0,0.9333333333333333,1.0,0.9655172413793104,0.9403246919632545,0.9736842105263158,0.9333333333333333,0.8787878787878788,0.039391807965661954,0.960608192034338,0.12121212121212122,0.8765993265993266,0.8787878787878788,0.8729866032097268,0.8483508811773218,0.9452262076467334,0.8462962962962963,0.7861006471554138,0.8787878787878788,0.004,0.0,0.01,0.0,10.0,0.0,17174.0,29675.0,4565.0,90.9090909090909,15.151515151515152,'Number of leaves: 24\nSize of the tree: 47\n',47.0,24.0,24.0
ecoli,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,303.0,33.0,29.0,4.0,0.0,87.87878787878788,12.121212121212121,0.0,0.829896907216495,0.034892503074321256,0.16038050082223085,19.096214320851036,53.22400582004669,72.04224391289614,1087.0242964731046,-1014.9820525602086,2.183098300390792,32.94013019615468,-30.757031895763895,60.05123901318178,1.819734515550963,2679.517131917337,1.0,14.0,0.05263157894736842,1.0,0.9473684210526315,18.0,0.0,0.0,0.9333333333333333,1.0,0.9655172413793104,0.9403246919632545,0.9736842105263158,0.9333333333333333,0.8787878787878788,0.044752791068580544,0.9552472089314195,0.12121212121212122,0.8723905723905724,0.8787878787878788,0.8712097308446194,0.8413078296646783,0.9482296650717703,0.8607653776314064,0.8463225903388175,0.8787878787878788,0.005,0.0,0.01,0.0,10.0,0.0,20194.0,29675.0,4565.0,90.9090909090909,13.636363636363637,'Number of leaves: 29\nSize of the tree: 57\n',57.0,29.0,29.0
ecoli,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,302.0,34.0,27.0,7.0,0.0,79.41176470588235,20.58823529411765,0.0,0.7076167076167076,0.058763091709822655,0.21866564133414557,32.3300528055086,73.00308208611351,73.30977882895988,4310.8843551118935,-4237.574576282934,2.1561699655576434,126.7907163268204,-124.63454636126276,49.37463030073085,1.452195008845025,2200.0197087036163,1.0,15.0,0.05263157894736842,1.0,0.9473684210526315,18.0,0.0,0.0,0.9375,1.0,0.967741935483871,0.9424212936563149,0.9754385964912281,0.9416666666666667,0.7941176470588235,0.05828642923350838,0.9417135707664916,0.20588235294117646,0.7837009803921569,0.7941176470588235,0.7851917996800237,0.741608305581388,0.878501913030302,0.7315261750633268,0.623381825848619,0.7941176470588235,0.005,0.0,0.01,0.0,10.0,0.0,18382.0,29582.0,4658.0,85.29411764705883,15.441176470588236,'Number of leaves: 26\nSize of the tree: 51\n',51.0,26.0,26.0
ecoli,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,302.0,34.0,30.0,4.0,0.0,88.23529411764706,11.764705882352942,0.0,0.830423940149626,0.03827946876424988,0.16880589987154473,21.06045156075657,56.35705220881582,73.30977882895988,3228.3472713603915,-3155.037492531432,2.1561699655576434,94.95139033412916,-92.79522036857152,57.37086927499582,1.6873785080881123,2556.313684612668,1.0,15.0,0.10526315789473684,2.0,0.8947368421052632,17.0,0.0,0.0,0.8823529411764706,1.0,0.9375,0.8885233166386385,0.9473684210526315,0.8823529411764706,0.8823529411764706,0.05833570204887492,0.9416642979511252,0.11764705882352941,0.8304498269896193,0.8823529411764706,0.8547794117647058,0.8212759778923201,0.9118284451367069,0.8175461361014993,0.7465277777777778,0.8823529411764706,0.005,0.0,0.01,0.0,10.0,0.0,20798.0,29582.0,4658.0,88.23529411764706,14.338235294117647,'Number of leaves: 30\nSize of the tree: 59\n',59.0,30.0,30.0
ecoli,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,302.0,34.0,27.0,7.0,0.0,79.41176470588235,20.58823529411765,0.0,0.713598074608905,0.05842075230053673,0.21775426628651376,32.141705820052586,72.69881303402302,73.30977882895988,4309.501080983602,-4236.1913021546425,2.1561699655576434,126.75003179363536,-124.59386182807772,52.3062939111681,1.5384204091520028,2330.6478811672323,0.8666666666666667,13.0,0.05263157894736842,1.0,0.9473684210526315,18.0,0.13333333333333333,2.0,0.9285714285714286,0.8666666666666667,0.896551724137931,0.821271097469555,0.9052631578947369,0.8772953625894803,0.7941176470588235,0.05513782017064819,0.9448621798293518,0.20588235294117646,0.823389355742297,0.7941176470588235,0.7899819697994142,0.7427515285957446,0.8820716341302726,0.7502970261188253,0.7142401021711366,0.7941176470588235,0.004,0.0,0.0,0.0,0.0,0.0,18986.0,29582.0,4658.0,82.3529411764706,13.970588235294118,'Number of leaves: 27\nSize of the tree: 53\n',53.0,27.0,27.0
ecoli,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,2.0171119130799998E7,302.0,34.0,34.0,0.0,0.0,100.0,0.0,0.0,1.0,0.010946329813976871,0.05312821522278126,5.9555718796911234,17.51490122377417,75.29822063598569,2.5777335216664756,72.72048711431921,2.214653548117226,0.07581569181371987,2.1388378563035064,72.7204871143192,2.138837856303506,3249.573068940579,1.0,14.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004,0.0,0.0,0.0,0.0,0.0,21402.0,29582.0,4658.0,100.0,13.602941176470589,'Number of leaves: 31\nSize of the tree: 61\n',61.0,31.0,31.0
